Stock Code,Name of Securities,Category,Sub-Category,Board Lot,Par Value,ISIN,Expiry Date,Subject to Stamp Duty,Shortsell Eligible,CAS Eligible,VCM Eligible,Admitted to Stock Options,Admitted to Stock Futures,Admitted to CCASS,ETF / Fund Manager,Debt Securities Board Lot (Nominal),Debt Securities Investor Type,POS Eligble,"Spread Table
1, 4 = Part A
2 = Part B
3 = Part C
5 = Part D"
00975,MONGOL MINING,Equity,Equity Securities (Main Board),"3,000",USD 0.1000,KYG6264V1361,,Y,,Y,,,,Y,,,,Y,1
00976,CHIHO ENV,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,KYG4465A1004,,Y,,Y,,,,Y,,,,Y,1
00978,CHI MER LAND,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,KYG210AW1064,,Y,Y,Y,Y,,,Y,,,,Y,1
00979,GREEN ENERGY GP,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG4088X1074,,Y,,Y,,,,Y,,,,Y,1
00980,LIANHUA,Equity,Equity Securities (Main Board),"1,000",RMB 1.0000,CNE1000003P2,,Y,,Y,,,,Y,,,,Y,1
00981,SMIC,Equity,Equity Securities (Main Board),500,USD 0.0040,KYG8020E1199,,Y,Y,Y,Y,,,Y,,,,Y,1
00982,HJ CAPITAL INTL,Equity,Equity Securities (Main Board),"20,000",HKD 0.00025,,,Y,,Y,,,,Y,,,,Y,1
00983,SOCAM DEV,Equity,Equity Securities (Main Board),"2,000",HKD 1.0000,BMG8249T1036,,Y,,Y,,,,Y,,,,Y,1
00984,AEON STORES,Equity,Equity Securities (Main Board),500,,HK0000084183,,Y,,Y,,,,Y,,,,Y,1
00985,CST GROUP,Equity,Equity Securities (Main Board),"8,000",HKD 0.1000,KYG2586J1094,,Y,,Y,,,,Y,,,,Y,1
00986,CH ENV ENERGY,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG2125A2219,,Y,,Y,,,,Y,,,,Y,1
00987,CH RENEW EN INV,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,KYG2161D1051,,Y,,Y,,,,Y,,,,Y,1
00988,SILKROAD LOG,Equity,Equity Securities (Main Board),"3,000",HKD 0.0100,BMG819221091,,Y,,Y,,,,Y,,,,Y,1
00989,GROUND INTL DEV,Equity,Equity Securities (Main Board),"5,000",HKD 0.0500,BMG4141P1178,,Y,,Y,,,,Y,,,,Y,1
00990,THEME INT'L,Equity,Equity Securities (Main Board),"10,000",HKD 0.0025,BMG8800F1876,,Y,,Y,,,,Y,,,,Y,1
00991,DATANG POWER,Equity,Equity Securities (Main Board),"2,000",RMB 1.0000,CNE1000002Z3,,Y,Y,Y,Y,,,Y,,,,Y,1
00992,LENOVO GROUP,Equity,Equity Securities (Main Board),"2,000",,HK0992009065,,Y,Y,Y,Y,Y,,Y,,,,Y,1
00993,HUARONG INT FIN,Equity,Equity Securities (Main Board),"1,000",HKD 0.0010,BMG4643L1019,,Y,,Y,,,,Y,,,,Y,1
00994,CT VISION,Equity,Equity Securities (Main Board),"4,000",HKD 0.0100,KYG2588A1067,,Y,,Y,,,,Y,,,,Y,1
00995,ANHUIEXPRESSWAY,Equity,Equity Securities (Main Board),"2,000",RMB 1.0000,CNE1000001X0,,Y,Y,Y,,,,Y,,,,Y,1
00996,CARNIVAL GROUP,Equity,Equity Securities (Main Board),"10,000",HKD 0.0100,BMG1991V1037,,Y,,Y,,,,Y,,,,Y,1
00997,CHINLINK INTL,Equity,Equity Securities (Main Board),"5,000",HKD 0.3125,BMG2113K1403,,Y,,Y,,,,Y,,,,Y,1
00998,CITIC BANK,Equity,Equity Securities (Main Board),"1,000",RMB 1.0000,CNE1000001Q4,,Y,Y,Y,Y,Y,Y,Y,,,,Y,1
00999,I.T,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG4977W1038,,Y,,Y,,,,Y,,,,Y,1
01000,BEIJING MEDIA,Equity,Equity Securities (Main Board),500,RMB 1.0000,CNE100000254,,Y,,Y,,,,Y,,,,Y,1
01001,HK SH ALLIANCE,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG8000T1027,,Y,,Y,,,,Y,,,,Y,1
01002,V.S. INT'L,Equity,Equity Securities (Main Board),"4,000",HKD 0.0500,KYG939951011,,Y,,Y,,,,Y,,,,Y,1
01003,HUANXI MEDIA,Equity,Equity Securities (Main Board),"10,000",HKD 0.0100,BMG4643J1062,,Y,Y,Y,,,,Y,,,,Y,1
01004,C SMARTERENERGY,Equity,Equity Securities (Main Board),"2,000",HKD 0.0025,BMG2116L1037,,Y,,Y,,,,Y,,,,Y,1
01005,MATRIX HOLDINGS,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG5888V1265,,Y,,Y,,,,Y,,,,Y,1
01006,CHANGSHOUHUA,Equity,Equity Securities (Main Board),"1,000",HKD 0.1000,KYG2045D1079,,Y,,Y,,,,Y,,,,Y,1
01007,LONGHUI INTL,Equity,Equity Securities (Main Board),"20,000",HKD 0.00002,KYG563801011,,Y,,Y,,,,Y,,,,Y,1
01008,BRILLIANT CIR,Equity,Equity Securities (Main Board),"2,000",HKD 0.0050,KYG1643V1059,,Y,,Y,,,,Y,,,,Y,1
01009,INT'L ENT,Equity,Equity Securities (Main Board),"2,000",HKD 1.0000,KYG4843W1050,,Y,,Y,,,,Y,,,,Y,1
